iter	Passed	Remaining
0	103	144101
1	194	136097
2	294	137095
3	375	131157
4	460	128437
5	540	125622
6	630	125372
7	717	124779
8	796	123166
9	878	122100
10	970	122488
11	1056	122202
12	1132	120844
13	1216	120392
14	1307	120745
15	1395	120737
16	1484	120729
17	1575	120933
18	1651	120013
19	1721	118789
20	1806	118619
21	1905	119362
22	1978	118480
23	2066	118503
24	2158	118720
25	2250	118923
26	2348	119405
27	2462	120683
28	2592	122547
29	2702	123399
30	2786	123064
31	2883	123260
32	2972	123123
33	3050	122575
34	3123	121819
35	3207	121545
36	3285	121042
37	3363	120539
38	3444	120198
39	3535	120218
40	3636	120524
41	3724	120429
42	3830	120891
43	3911	120546
44	3998	120385
45	4101	120730
46	4197	120848
47	4285	120715
48	4384	120898
49	4493	121325
50	4564	120733
51	4640	120308
52	4726	120124
53	4800	119651
54	4888	119555
55	4974	119394
56	5056	119129
57	5134	118797
58	5204	118299
59	5281	117964
60	5379	118087
61	5458	117807
62	5540	117576
63	5632	117586
64	5704	117161
65	5790	117036
66	5876	116918
67	5957	116693
68	6037	116469
69	6118	116256
70	6192	115914
71	6287	115972
72	6365	115718
73	6450	115585
74	6530	115368
75	6624	115407
76	6713	115354
77	6793	115148
78	6874	114950
79	6965	114927
80	7061	114988
81	7142	114810
82	7215	114499
83	7312	114559
84	7408	114614
85	7503	114653
86	7591	114574
87	7675	114439
88	7776	114546
89	7862	114440
90	7936	114167
91	8022	114062
92	8101	113853
93	8188	113761
94	8272	113637
95	8358	113536
96	8447	113471
97	8531	113352
98	8626	113365
99	8706	113179
100	8786	113006
101	8869	112873
102	8951	112721
103	9025	112468
104	9096	112185
105	9192	112213
106	9278	112121
107	9365	112044
108	9463	112085
109	9568	112216
110	9655	112120
111	9760	112251
112	9848	112165
113	9942	112157
114	10035	112131
115	10128	112109
116	10207	111930
117	10290	111798
118	10371	111651
119	10449	111465
120	10537	111383
121	10631	111372
122	10728	111382
123	10815	111296
124	10891	111095
125	10980	111030
126	11054	110805
127	11126	110571
128	11214	110497
129	11289	110292
130	11384	110283
131	11479	110271
132	11562	110146
133	11652	110086
134	11737	109982
135	11821	109868
136	11900	109712
137	11995	109698
138	12096	109743
139	12189	109707
140	12271	109574
141	12358	109484
142	12461	109536
143	12560	109555
144	12653	109514
145	12738	109410
146	12842	109468
147	12938	109456
148	13041	109495
149	13139	109495
150	13236	109487
151	13328	109432
152	13425	109421
153	13508	109292
154	13594	109195
155	13697	109228
156	13777	109081
157	13861	108964
158	13941	108813
159	14035	108778
160	14128	108726
161	14228	108734
162	14325	108717
163	14420	108678
164	14501	108543
165	14593	108481
166	14673	108336
167	14773	108338
168	14879	108384
169	14966	108286
170	15045	108137
171	15135	108062
172	15243	108115
173	15339	108082
174	15440	108084
175	15535	108045
176	15621	107939
177	15746	108101
178	15858	108174
179	15958	108165
180	16063	108186
181	16153	108107
182	16254	108099
183	16350	108054
184	16449	108030
185	16533	107910
186	16613	107768
187	16716	107771
188	16811	107720
189	16913	107709
190	16996	107584
191	17094	107552
192	17191	107512
193	17286	107460
194	17383	107418
195	17469	107313
196	17557	107214
197	17658	107201
198	17741	107074
199	17829	106975
200	17932	106968
201	18025	106904
202	18120	106845
203	18210	106763
204	18304	106699
205	18400	106649
206	18502	106636
207	18605	106625
208	18702	106575
209	18802	106544
210	18892	106463
211	18989	106414
212	19081	106337
213	19178	106288
214	19269	106205
215	19369	106172
216	19465	106116
217	19555	106031
218	19647	105951
219	19715	105746
220	19810	105686
221	19894	105568
222	19979	105454
223	20057	105299
224	20143	105192
225	20228	105078
226	20326	105033
227	20417	104953
228	20510	104878
229	20596	104773
230	20691	104710
231	20771	104572
232	20867	104515
233	20952	104403
234	21039	104301
235	21125	104197
236	21212	104095
237	21292	103956
238	21370	103812
239	21464	103747
240	21560	103686
241	21657	103631
242	21749	103556
243	21843	103485
244	21926	103367
245	22008	103242
246	22089	103112
247	22183	103044
248	22275	102967
249	22372	102915
250	22469	102856
251	22562	102785
252	22664	102750
253	22781	102784
254	22897	102812
255	23006	102812
256	23095	102718
257	23190	102650
258	23271	102520
259	23363	102441
260	23453	102348
261	23535	102225
262	23629	102156
263	23727	102101
264	23809	101978
265	23910	101933
266	23999	101839
267	24091	101761
268	24186	101692
269	24279	101613
270	24373	101541
271	24469	101475
272	24562	101401
273	24649	101297
274	24745	101232
275	24831	101124
276	24927	101060
277	25006	100923
278	25100	100852
279	25194	100778
280	25268	100625
281	25362	100549
282	25453	100466
283	25548	100395
284	25643	100324
285	25751	100305
286	25838	100204
287	25927	100109
288	26019	100027
289	26114	99955
290	26210	99886
291	26291	99763
292	26379	99666
293	26454	99521
294	26548	99444
295	26636	99347
296	26727	99259
297	26808	99136
298	26906	99078
299	27001	99004
300	27076	98862
301	27172	98791
302	27267	98721
303	27359	98637
304	27457	98578
305	27554	98511
306	27649	98441
307	27740	98353
308	27836	98282
309	27928	98198
310	28023	98128
311	28117	98050
312	28211	97972
313	28305	97897
314	28394	97803
315	28477	97687
316	28562	97582
317	28641	97451
318	28731	97362
319	28821	97271
320	28916	97200
321	29011	97125
322	29103	97040
323	29201	96977
324	29297	96906
325	29390	96825
326	29475	96718
327	29569	96642
328	29649	96520
329	29724	96378
330	29818	96301
331	29910	96217
332	29998	96119
333	30091	96041
334	30182	95954
335	30278	95883
336	30372	95805
337	30469	95734
338	30566	95667
339	30660	95587
340	30753	95506
341	30841	95411
342	30937	95338
343	31024	95237
344	31133	95206
345	31221	95108
346	31315	95029
347	31400	94924
348	31499	94859
349	31598	94794
350	31685	94695
351	31784	94630
352	31872	94533
353	31967	94457
354	32059	94372
355	32150	94285
356	32246	94211
357	32350	94159
358	32434	94051
359	32526	93964
360	32611	93859
361	32708	93787
362	32788	93667
363	32881	93585
364	32961	93465
365	33050	93373
366	33143	93289
367	33232	93194
368	33309	93067
369	33397	92970
370	33480	92862
371	33575	92785
372	33670	92707
373	33768	92638
374	33859	92549
375	33945	92447
376	34040	92370
377	34141	92309
378	34237	92233
379	34313	92103
380	34404	92015
381	34497	91933
382	34576	91812
383	34666	91721
384	34768	91661
385	34851	91554
386	34929	91430
387	35008	91309
388	35083	91181
389	35179	91107
390	35259	90990
391	35335	90863
392	35420	90758
393	35516	90683
394	35603	90587
395	35695	90501
396	35798	90443
397	35891	90359
398	35982	90271
399	36063	90157
400	36146	90050
401	36230	89944
402	36323	89862
403	36425	89800
404	36533	89755
405	36644	89716
406	36750	89663
407	36842	89576
408	36936	89496
409	37023	89397
410	37116	89313
411	37204	89219
412	37297	89134
413	37396	89065
414	37490	88983
415	37583	88899
416	37665	88789
417	37770	88733
418	37864	88650
419	37960	88575
420	38053	88490
421	38149	88412
422	38245	88334
423	38331	88235
424	38413	88125
425	38488	87999
426	38587	87928
427	38683	87850
428	38775	87765
429	38876	87699
430	38962	87598
431	39032	87460
432	39125	87377
433	39222	87300
434	39307	87199
435	39402	87119
436	39489	87021
437	39577	86925
438	39666	86832
439	39755	86739
440	39840	86637
441	39937	86561
442	40023	86461
443	40111	86365
444	40198	86268
445	40293	86188
446	40374	86078
447	40459	85976
448	40556	85899
449	40653	85824
450	40752	85751
451	40838	85653
452	40917	85539
453	41011	85455
454	41099	85360
455	41182	85254
456	41277	85174
457	41376	85102
458	41481	85041
459	41585	84978
460	41696	84930
461	41813	84894
462	41919	84834
463	42045	84816
464	42149	84752
465	42230	84642
466	42325	84560
467	42418	84473
468	42487	84341
469	42575	84246
470	42672	84166
471	42766	84082
472	42857	83994
473	42946	83899
474	43039	83813
475	43134	83732
476	43227	83646
477	43324	83567
478	43420	83486
479	43515	83404
480	43605	83312
481	43683	83198
482	43783	83125
483	43879	83043
484	43968	82950
485	44065	82872
486	44153	82776
487	44243	82684
488	44340	82606
489	44433	82518
490	44525	82430
491	44621	82350
492	44702	82242
493	44796	82157
494	44888	82068
495	44978	81976
496	45053	81857
497	45145	81769
498	45234	81676
499	45326	81587
500	45421	81504
501	45514	81419
502	45610	81337
503	45705	81253
504	45796	81164
505	45872	81047
506	45963	80956
507	46055	80869
508	46141	80769
509	46226	80670
510	46300	80549
511	46392	80461
512	46480	80367
513	46579	80289
514	46672	80204
515	46764	80115
516	46863	80039
517	46950	79942
518	47046	79861
519	47148	79790
520	47258	79731
521	47355	79651
522	47461	79586
523	47554	79498
524	47635	79392
525	47736	79318
526	47817	79211
527	47919	79139
528	48056	79125
529	48195	79112
530	48315	79069
531	48415	78994
532	48510	78909
533	48610	78831
534	48705	78747
535	48802	78666
536	48901	78587
537	48995	78502
538	49084	78408
539	49182	78327
540	49276	78240
541	49359	78137
542	49450	78045
543	49546	77962
544	49642	77879
545	49745	77806
546	49841	77724
547	49920	77613
548	50012	77523
549	50107	77438
550	50185	77327
551	50287	77253
552	50381	77166
553	50472	77075
554	50568	76992
555	50666	76910
556	50760	76824
557	50850	76730
558	50947	76649
559	51039	76558
560	51139	76481
561	51237	76399
562	51327	76307
563	51420	76219
564	51512	76129
565	51606	76041
566	51697	75949
567	51794	75868
568	51879	75767
569	51956	75656
570	52052	75572
571	52152	75493
572	52243	75402
573	52339	75318
574	52433	75230
575	52546	75170
576	52669	75125
577	52782	75064
578	52898	75007
579	52999	74930
580	53097	74848
581	53178	74742
582	53284	74671
583	53366	74567
584	53465	74486
585	53554	74390
586	53649	74304
587	53742	74215
588	53837	74129
589	53933	74043
590	54030	73960
591	54126	73875
592	54218	73784
593	54306	73688
594	54409	73613
595	54520	73547
596	54627	73477
597	54728	73397
598	54826	73315
599	54921	73228
600	55014	73139
601	55120	73066
602	55226	72994
603	55324	72911
604	55430	72838
605	55529	72756
606	55624	72669
607	55719	72581
608	55828	72513
609	55933	72438
610	56038	72364
611	56147	72294
612	56246	72211
613	56348	72133
614	56446	72049
615	56543	71964
616	56639	71878
617	56734	71790
618	56832	71706
619	56918	71607
620	57012	71518
621	57114	71438
622	57219	71363
623	57299	71257
624	57401	71177
625	57496	71089
626	57594	71005
627	57693	70922
628	57775	70818
629	57879	70741
630	57980	70660
631	58092	70594
632	58203	70524
633	58309	70449
634	58395	70350
635	58494	70266
636	58598	70189
637	58685	70091
638	58789	70013
639	58885	69926
640	58965	69820
641	59057	69728
642	59156	69645
643	59256	69561
644	59353	69476
645	59453	69393
646	59552	69309
647	59653	69227
648	59752	69143
649	59856	69065
650	59951	68976
651	60036	68875
652	60135	68791
653	60232	68705
654	60330	68620
655	60430	68536
656	60523	68445
657	60617	68355
658	60712	68266
659	60809	68180
660	60903	68090
661	60992	67994
662	61086	67905
663	61161	67793
664	61255	67703
665	61341	67605
666	61435	67514
667	61529	67424
668	61625	67336
669	61717	67244
670	61819	67163
671	61914	67073
672	62009	66985
673	62102	66893
674	62185	66791
675	62281	66703
676	62377	66615
677	62465	66519
678	62561	66431
679	62658	66343
680	62757	66259
681	62851	66169
682	62948	66082
683	63044	65993
684	63129	65894
685	63228	65809
686	63325	65721
687	63440	65653
688	63545	65574
689	63652	65497
690	63749	65410
691	63850	65326
692	63939	65230
693	64021	65128
694	64102	65024
695	64196	64934
696	64285	64839
697	64375	64744
698	64471	64656
699	64570	64570
700	64665	64480
701	64748	64379
702	64850	64297
703	64929	64191
704	65017	64095
705	65111	64004
706	65203	63912
707	65293	63818
708	65398	63737
709	65504	63659
710	65609	63579
711	65708	63493
712	65799	63399
713	65896	63312
714	65989	63220
715	66085	63132
716	66175	63037
717	66267	62944
718	66338	62832
719	66430	62740
720	66514	62639
721	66608	62548
722	66702	62458
723	66804	62375
724	66900	62286
725	67008	62208
726	67106	62122
727	67202	62033
728	67300	61946
729	67382	61844
730	67476	61753
731	67577	61668
732	67659	61567
733	67759	61482
734	67868	61404
735	67967	61318
736	68071	61236
737	68167	61147
738	68265	61060
739	68368	60977
740	68464	60888
741	68555	60794
742	68663	60715
743	68773	60638
744	68878	60557
745	68986	60478
746	69077	60384
747	69159	60283
748	69253	60192
749	69331	60087
750	69426	59997
751	69520	59905
752	69612	59812
753	69708	59723
754	69807	59636
755	69885	59532
756	69981	59442
757	70067	59344
758	70164	59255
759	70261	59167
760	70355	59076
761	70450	58985
762	70550	58900
763	70647	58810
764	70723	58705
765	70822	58617
766	70922	58532
767	71013	58438
768	71108	58347
769	71202	58256
770	71301	58169
771	71390	58073
772	71492	57989
773	71574	57888
774	71670	57798
775	71760	57704
776	71858	57616
777	71952	57525
778	72047	57434
779	72143	57344
780	72237	57253
781	72336	57166
782	72424	57069
783	72527	56985
784	72621	56894
785	72700	56791
786	72782	56691
787	72866	56591
788	72943	56487
789	73040	56398
790	73134	56307
791	73231	56218
792	73324	56125
793	73413	56031
794	73488	55925
795	73583	55834
796	73678	55744
797	73775	55654
798	73858	55555
799	73943	55457
800	74028	55359
801	74118	55265
802	74231	55188
803	74320	55093
804	74428	55012
805	74519	54918
806	74611	54826
