iter	Logloss
0	0.5741991891
1	0.5010461154
2	0.4586114325
3	0.4296604237
4	0.4109622757
5	0.3979454934
6	0.3880182019
7	0.3818940038
8	0.3775773507
9	0.3743635295
10	0.3715053123
11	0.3691774878
12	0.36757488
13	0.3667819417
14	0.3657862051
15	0.3650002893
16	0.3642193021
17	0.3635680513
18	0.3631275213
19	0.3628116334
20	0.3625120331
21	0.3622182555
22	0.3619818172
23	0.361713979
24	0.361545966
25	0.3613888525
26	0.361241363
27	0.3609344494
28	0.3607898811
29	0.3606773334
30	0.3605620629
31	0.3604553578
32	0.3602481321
33	0.3601464188
34	0.3600755269
35	0.3599945965
36	0.3599145038
37	0.3598045561
38	0.3596314717
39	0.3594455744
40	0.3593683819
41	0.3593159117
42	0.3591025197
43	0.3590487246
44	0.3589964383
45	0.3589547134
46	0.3588115768
47	0.358776537
48	0.3587060973
49	0.3585591554
50	0.3585153202
51	0.3584915448
52	0.3584334695
53	0.3583931074
54	0.3580868207
55	0.3580374545
56	0.357979145
57	0.3579357728
58	0.3578732946
59	0.3578218848
60	0.3576734073
61	0.3576446302
62	0.3576278262
63	0.3575706643
64	0.3575464131
65	0.3574931451
66	0.3574668431
67	0.3574241635
68	0.3573621977
69	0.35734572
70	0.3573054524
71	0.357277896
72	0.3571342461
73	0.3571007951
74	0.3570773679
75	0.3570457699
76	0.3569924239
77	0.3569353613
78	0.3568806148
79	0.3568044399
80	0.3567095176
81	0.3567030534
82	0.3565080168
83	0.3564623679
84	0.3562413374
85	0.3562006118
86	0.3561032919
87	0.3560578805
88	0.3560225428
89	0.3559846948
90	0.3559529973
91	0.3558577703
92	0.3558097882
93	0.3557255677
94	0.3556976112
95	0.3556493158
96	0.3554664557
97	0.3552452724
98	0.3551416292
99	0.3550855089
100	0.3550112564
101	0.3548324664
102	0.3547282823
103	0.3545142799
104	0.3544360461
105	0.3543851214
106	0.3543369838
107	0.3541262855
108	0.3540889735
109	0.3539601678
110	0.3538595063
111	0.3537766872
112	0.3536210312
113	0.3535733832
114	0.3533818696
115	0.3532204116
116	0.3531798278
117	0.3529716177
118	0.3528771176
119	0.3528289898
120	0.3527996658
121	0.3526600772
122	0.352597727
123	0.3525388993
124	0.3525072127
125	0.3523327382
126	0.3523033359
127	0.3522721962
128	0.3522328406
129	0.352187315
130	0.3521291936
131	0.3520746437
132	0.3519094231
133	0.3518605524
134	0.351800385
135	0.351756914
136	0.3516732555
137	0.3516176489
138	0.3515768486
139	0.3514970986
140	0.3514531869
141	0.3513907269
142	0.3513269897
143	0.3512773926
144	0.3512473341
145	0.3512110584
146	0.3511829736
147	0.3511328409
148	0.351095391
149	0.3510068003
150	0.3509735425
151	0.3509286482
152	0.3508314633
153	0.3507023504
154	0.3506767681
155	0.3506535517
156	0.3506174394
157	0.3505604246
158	0.3504917244
159	0.3504517019
160	0.3504305906
161	0.3503846667
162	0.3503016235
163	0.3501838843
164	0.3500193713
165	0.3499234449
166	0.3497973086
167	0.3497609299
168	0.3497256445
169	0.349696976
170	0.349671767
171	0.3496298566
172	0.3496012347
173	0.3495134839
174	0.3494713302
175	0.3493471421
176	0.3493108172
177	0.3492733832
178	0.3492365952
179	0.3491893783
180	0.349142246
181	0.349127932
182	0.3490866959
183	0.3489972424
184	0.3489688034
185	0.3488710514
186	0.3488698235
187	0.3488124095
188	0.3487126309
189	0.3486691729
190	0.3484528974
191	0.3483561465
192	0.348322265
193	0.3482910373
194	0.3482583493
195	0.3482078654
196	0.3481812906
197	0.3481242677
198	0.347997799
199	0.3479689064
200	0.3479209568
201	0.347874063
202	0.347831834
203	0.3477102228
204	0.3476371958
205	0.3475980316
206	0.3475181988
207	0.3474789333
208	0.347444653
209	0.3473870651
210	0.3473296631
211	0.3473138428
212	0.3472341167
213	0.3471990576
214	0.3471567318
215	0.3471352527
216	0.3470983564
217	0.3470738374
218	0.3469740079
219	0.3469739039
220	0.3469192768
221	0.3468545834
222	0.3468243467
223	0.3467555864
224	0.3467299184
225	0.3466293136
226	0.3465976158
227	0.3465680603
228	0.3465451869
229	0.3464981157
230	0.346432394
231	0.3463944379
232	0.3463715985
233	0.3463370844
234	0.3462949188
235	0.3462801997
236	0.3462533853
237	0.3461604229
238	0.3461000904
239	0.3460771414
240	0.3459682384
241	0.3459359246
242	0.3459021601
243	0.3458747333
244	0.3458434526
245	0.3458125696
246	0.3457901785
247	0.3457633933
248	0.3457338364
249	0.3456993472
250	0.3456639924
251	0.3456322126
252	0.3456028824
253	0.3455225173
254	0.3455066034
255	0.3454784699
256	0.3453902918
257	0.3453624046
258	0.3453298109
259	0.3453061239
260	0.3452826225
261	0.3452753708
262	0.3452106682
263	0.3451828735
264	0.3451605891
265	0.3451449905
266	0.3451202923
267	0.3451045789
268	0.3450748303
269	0.3450419858
270	0.3450184669
271	0.3449578268
272	0.3449194515
273	0.344888072
274	0.3448711917
275	0.3448443891
276	0.3448081831
277	0.344785968
278	0.3447551806
279	0.3447317913
280	0.3446041595
281	0.3445821665
282	0.3445713583
283	0.344547425
284	0.3444614612
285	0.3444350888
286	0.3443493133
287	0.3442137382
288	0.3441772773
289	0.3441572608
290	0.3441306131
291	0.3440902611
292	0.3440586304
293	0.3440348817
294	0.3440104059
295	0.3439870745
296	0.3439610039
297	0.3439354227
298	0.3439190527
299	0.3438961075
300	0.3438702753
301	0.3438451684
302	0.3438256235
303	0.3438017549
304	0.3437796899
305	0.343758314
306	0.3437358743
307	0.3437124884
308	0.3437023305
309	0.3436786975
310	0.3436471435
311	0.3436289696
312	0.3435900761
313	0.3435542083
314	0.3435190544
315	0.3434487775
316	0.3434215744
317	0.3433548073
318	0.3432946456
319	0.3432662818
320	0.3432625766
321	0.3432396277
322	0.343221598
323	0.3431999291
324	0.3431599218
325	0.3431576504
326	0.3431262136
327	0.3431140264
328	0.3430898977
329	0.3430674648
330	0.3430171362
331	0.3429873568
332	0.3429683934
333	0.3429573771
334	0.3429355344
335	0.3429162354
336	0.342891882
337	0.3428875402
338	0.3428590508
339	0.3428299271
340	0.3428062647
341	0.3427713165
342	0.3427485504
343	0.3427240059
344	0.3427094022
345	0.3426930845
346	0.3426697612
347	0.3425709922
348	0.3425476083
349	0.3425176829
350	0.3425022011
351	0.3424787277
352	0.3424399547
353	0.3424209426
354	0.3423994528
355	0.3423647439
356	0.3423507987
357	0.3423384007
358	0.3423173774
359	0.3422963851
360	0.342271585
361	0.3422521759
362	0.3421481053
363	0.3421234013
364	0.3421053813
365	0.3420893488
366	0.3420798083
367	0.3419875413
368	0.3419033015
369	0.3418809159
370	0.3418091821
371	0.3417829346
372	0.3417614834
373	0.341750901
374	0.3417352316
375	0.3417218604
376	0.3416709447
377	0.3416559465
378	0.3416275467
379	0.3416078937
380	0.3415898307
381	0.3415683659
382	0.3415518645
383	0.3415235792
384	0.3414798085
385	0.341471766
386	0.3414479611
387	0.3414460249
