iter	Logloss
0	0.5590553764
1	0.4864718448
2	0.4445059249
3	0.4170975443
4	0.4011337382
5	0.3894426075
6	0.3829601712
7	0.3776135696
8	0.3743416972
9	0.3710539475
10	0.3692350538
11	0.367645227
12	0.3665604295
13	0.3656843849
14	0.3649154439
15	0.3644685695
16	0.3640656837
17	0.3637206473
18	0.3633312695
19	0.3630815601
20	0.3628351631
21	0.3627095346
22	0.3625756807
23	0.3624046504
24	0.3622180453
25	0.3618759396
26	0.3616135531
27	0.3614832376
28	0.361367491
29	0.3612533186
30	0.3611113836
31	0.3605569038
32	0.3604414284
33	0.3603258272
34	0.3601571009
35	0.3600382583
36	0.3600072
37	0.3599289202
38	0.35966871
39	0.3595999227
40	0.3595399923
41	0.3595010914
42	0.3594327607
43	0.3593669529
44	0.3591851774
45	0.3591052162
46	0.3590369479
47	0.3590102846
48	0.358969022
49	0.3589398979
50	0.3587836239
51	0.3587045425
52	0.3586881306
53	0.3586114044
54	0.3585760239
55	0.3585470264
56	0.3584437497
57	0.3584059697
58	0.3583831264
59	0.3583401617
60	0.358327113
61	0.3581034968
62	0.3579088741
63	0.357828036
64	0.3575704551
65	0.3575490365
66	0.3575045891
67	0.3574784524
68	0.3574462045
69	0.357428569
70	0.3573954666
71	0.3573666541
72	0.3572529008
73	0.3571640574
74	0.3571114083
75	0.3570589835
76	0.3569962905
77	0.3569688358
78	0.3568937144
79	0.3568205426
80	0.3565791255
81	0.3562257159
82	0.3561191439
83	0.3560729539
84	0.3559961084
85	0.3559463048
86	0.3558886291
87	0.3558367596
88	0.3557327085
89	0.3555298324
90	0.3553946415
91	0.3552083826
92	0.3550333961
93	0.3548370897
94	0.3547597652
95	0.354719432
96	0.3545701879
97	0.3545342113
98	0.3544763966
99	0.354383968
100	0.3541519018
101	0.3541123771
102	0.354048377
103	0.3539999952
104	0.3539242628
105	0.3537937267
106	0.3537244219
107	0.3536788896
108	0.3536095926
109	0.3535516836
110	0.3535034858
111	0.3533966528
112	0.3533677424
113	0.3533264951
114	0.3532899386
115	0.3532465173
116	0.3532229025
117	0.3531852804
118	0.3531336966
119	0.3530977678
120	0.3529525828
121	0.352924473
122	0.3528035451
123	0.3527797548
124	0.3527002355
125	0.3525975037
126	0.3525527943
127	0.3524408481
128	0.3524162784
129	0.3523635066
130	0.3523327367
131	0.3522288936
132	0.3522069227
133	0.352026151
134	0.3520044747
135	0.3518998529
136	0.3517692945
137	0.3517472777
138	0.3517078532
139	0.3516896899
140	0.3516620545
141	0.3516370356
142	0.35157404
143	0.3514079775
144	0.3512654066
145	0.351176723
146	0.3511328509
147	0.3511029734
148	0.3510324933
149	0.3509895118
150	0.3509721653
151	0.3509426294
152	0.3509108247
153	0.350821796
154	0.350799986
155	0.350773278
156	0.3507529921
157	0.3507162403
158	0.350684315
159	0.3506742797
160	0.3506526864
161	0.3506184263
162	0.350571315
163	0.3505509613
164	0.3505142177
165	0.3504737808
166	0.3504484808
167	0.3504171382
168	0.3503972454
169	0.3503722771
170	0.3503659471
171	0.3503252157
172	0.3501903128
173	0.3501414278
174	0.3501402299
175	0.3501020629
176	0.3500097297
177	0.3499837688
178	0.3499737477
179	0.349931968
180	0.3499157709
181	0.3499008562
182	0.3498777606
183	0.3498114361
184	0.3497825243
185	0.3497018152
186	0.3496678696
187	0.3496646248
188	0.3496485546
189	0.3496255778
190	0.3495854305
191	0.3495724968
192	0.3495333606
193	0.3493769293
194	0.3493547251
195	0.3492805023
196	0.349260042
197	0.3492473212
198	0.3492416144
199	0.3492405136
200	0.3492325424
201	0.349232379
202	0.3492187711
203	0.3490873366
204	0.3490091406
205	0.3488332819
206	0.3487875934
207	0.3487037961
208	0.3486447988
209	0.3485878353
210	0.3485504929
211	0.3485295501
212	0.3484943301
213	0.3483697532
214	0.348349747
215	0.3482439884
216	0.3482053749
217	0.3481948109
218	0.3481523378
219	0.3480467433
220	0.3480271497
221	0.3479953368
222	0.3479899275
223	0.3479729139
224	0.3479572694
225	0.3479305279
226	0.3478994777
227	0.3478892878
228	0.3478617493
229	0.3478474348
230	0.34775539
231	0.3477345559
232	0.3477051822
233	0.3476806458
234	0.3476547489
235	0.3476295039
236	0.3475658485
237	0.3475491303
238	0.347532419
239	0.3475117094
240	0.3474874792
241	0.3474472948
242	0.3474317531
243	0.3474099297
