iter	Passed	Remaining
0	102	142752
1	204	142798
2	297	138393
3	375	131057
4	457	127580
5	546	126997
6	626	124678
7	706	122894
8	793	122639
9	875	121742
10	980	123869
11	1095	126692
12	1217	129856
13	1318	130541
14	1396	128945
15	1489	128823
16	1564	127289
17	1654	127013
18	1743	126714
19	1840	127009
20	1926	126491
21	2013	126108
22	2100	125751
23	2182	125127
24	2261	124383
25	2338	123584
26	2420	123079
27	2495	122291
28	2583	122116
29	2680	122416
30	2779	122762
31	2868	122614
32	2959	122589
33	3051	122583
34	3096	120747
35	3186	120735
36	3266	120337
37	3348	120022
38	3435	119887
39	3528	119970
40	3616	119876
41	3693	119421
42	3787	119528
43	3867	119200
44	3961	119271
45	4031	118678
46	4122	118681
47	4210	118595
48	4304	118679
49	4383	118362
50	4475	118370
51	4541	117723
52	4632	117747
53	4706	117307
54	4784	117004
55	4863	116726
56	4956	116787
57	5048	116816
58	5138	116800
59	5228	116766
60	5311	116595
61	5394	116415
62	5468	116046
63	5560	116083
64	5628	115602
65	5718	115582
66	5805	115507
67	5893	115447
68	5982	115398
69	6081	115550
70	6159	115296
71	6253	115340
72	6353	115486
73	6444	115481
74	6537	115489
75	6623	115391
76	6667	114562
77	6745	114328
78	6838	114346
79	6930	114350
80	7019	114310
81	7091	113988
82	7179	113920
83	7272	113932
84	7365	113952
85	7451	113845
86	7531	113670
87	7620	113616
88	7692	113306
89	7765	113036
90	7846	112862
91	7949	113028
92	8043	113045
93	8126	112903
94	8227	113024
95	8325	113083
96	8401	112858
97	8493	112845
98	8575	112689
99	8662	112612
100	8757	112630
101	8851	112633
102	8946	112653
103	9041	112665
104	9135	112673
105	9209	112425
106	9300	112393
107	9411	112588
108	9528	112855
109	9652	113199
110	9769	113445
111	9871	113516
112	9965	113503
113	10061	113500
114	10144	113357
115	10226	113200
116	10310	113060
117	10393	112914
118	10471	112719
119	10566	112709
120	10658	112667
121	10746	112573
122	10822	112356
123	10910	112269
124	11003	112230
125	11085	112089
126	11164	111906
127	11252	111824
128	11344	111771
129	11441	111771
130	11535	111742
131	11612	111552
132	11703	111491
133	11798	111472
134	11878	111302
135	11956	111127
136	12052	111111
137	12136	110991
138	12215	110819
139	12296	110672
140	12384	110582
141	12480	110567
142	12577	110556
143	12668	110499
144	12744	110308
145	12835	110243
146	12913	110070
147	12985	109847
148	13081	109830
149	13172	109770
150	13255	109644
151	13355	109659
152	13457	109683
153	13556	109685
154	13656	109694
155	13736	109536
156	13815	109377
157	13912	109359
158	14009	109347
159	14105	109319
160	14185	109167
161	14262	108995
162	14358	108966
163	14440	108832
164	14524	108712
165	14607	108588
166	14694	108494
167	14790	108466
168	14868	108305
169	14971	108326
170	15052	108187
171	15138	108079
172	15224	107976
173	15303	107830
174	15392	107749
175	15494	107757
176	15585	107687
177	15687	107694
178	15765	107542
179	15858	107482
180	15952	107437
181	16029	107275
182	16121	107209
183	16210	107127
184	16305	107084
185	16391	106983
186	16489	106958
187	16597	106998
188	16696	106980
189	16780	106863
190	16866	106764
191	16968	106757
192	17068	106744
193	17148	106605
194	17242	106549
195	17338	106510
196	17415	106352
197	17511	106306
198	17607	106262
199	17701	106208
200	17786	106099
201	17866	105962
202	17946	105824
203	18023	105666
204	18100	105512
205	18176	105355
206	18261	105246
207	18353	105178
208	18447	105122
209	18544	105085
210	18649	105091
211	18766	105163
212	18875	105186
213	18986	105224
214	19078	105155
215	19168	105073
216	19261	105003
217	19341	104868
218	19426	104760
219	19520	104701
220	19613	104633
221	19691	104490
222	19785	104429
223	19875	104346
224	19972	104299
225	20056	104186
226	20150	104127
227	20242	104053
228	20337	103997
229	20430	103931
230	20523	103862
231	20599	103707
232	20683	103594
233	20777	103534
234	20870	103466
235	20965	103407
236	21050	103296
237	21138	103207
238	21233	103144
239	21324	103067
240	21419	103007
241	21515	102953
242	21612	102901
243	21706	102837
244	21798	102764
245	21884	102663
246	21970	102556
247	22069	102515
248	22168	102474
249	22264	102417
250	22359	102356
251	22451	102279
252	22544	102208
253	22633	102118
254	22711	101978
255	22793	101860
256	22881	101763
257	22974	101694
258	23070	101636
259	23166	101576
260	23260	101508
261	23357	101454
262	23443	101350
263	23540	101296
264	23638	101245
265	23735	101188
266	23817	101069
267	23899	100948
268	23990	100865
269	24088	100813
270	24192	100786
271	24277	100679
272	24382	100654
273	24483	100613
274	24576	100541
275	24679	100505
276	24772	100432
277	24852	100305
278	24946	100235
279	25041	100164
280	25119	100032
281	25215	99965
282	25299	99855
283	25399	99811
284	25476	99671
285	25572	99607
286	25666	99536
287	25753	99437
288	25834	99316
289	25931	99255
290	26021	99169
291	26112	99082
292	26205	99008
293	26300	98941
294	26393	98862
295	26492	98809
296	26580	98715
297	26667	98616
298	26749	98498
299	26847	98439
300	26938	98358
301	27019	98235
302	27096	98103
303	27187	98017
304	27281	97943
305	27360	97819
306	27438	97686
307	27521	97575
308	27604	97464
309	27698	97391
310	27788	97302
311	27872	97195
312	27961	97105
313	28044	96996
314	28138	96920
315	28236	96861
316	28320	96754
317	28423	96710
318	28516	96632
319	28599	96521
320	28673	96382
321	28758	96279
322	28835	96148
323	28923	96053
324	29019	95989
325	29104	95882
326	29189	95779
327	29283	95707
328	29370	95609
329	29456	95508
330	29563	95477
331	29660	95413
332	29747	95317
333	29849	95268
334	29944	95195
335	30039	95126
336	30127	95032
337	30205	94906
338	30288	94795
339	30371	94687
