iter	Passed	Remaining
0	96	135507
1	185	129746
2	284	132427
3	379	132375
4	476	132875
5	557	129474
6	651	129586
7	743	129382
8	836	129231
9	928	129099
10	1017	128461
11	1126	130333
12	1260	134472
13	1392	137842
14	1483	137000
15	1590	137598
16	1693	137780
17	1787	137224
18	1877	136440
19	1963	135476
20	2051	134686
21	2147	134486
22	2251	134772
23	2354	135005
24	2478	136304
25	2577	136224
26	2663	135447
27	2738	134195
28	2826	133642
29	2901	132510
30	2982	131730
31	3061	130886
32	3121	129303
33	3207	128879
34	3283	128052
35	3359	127290
36	3447	127002
37	3523	126281
38	3608	125913
39	3690	125460
40	3780	125306
41	3859	124781
42	3937	124252
43	4015	123738
44	4096	123340
45	4195	123492
46	4291	123530
47	4378	123327
48	4457	122886
49	4547	122784
50	4641	122779
51	4730	122637
52	4824	122602
53	4910	122388
54	4999	122249
55	5078	121890
56	5168	121767
57	5245	121360
58	5298	120417
59	5382	120201
60	5474	120180
61	5565	120116
62	5637	119645
63	5730	119627
64	5819	119532
65	5908	119429
66	5998	119347
67	6088	119260
68	6172	119073
69	6260	118954
70	6344	118763
71	6437	118733
72	6519	118517
73	6599	118264
74	6693	118245
75	6778	118090
76	6861	117900
77	6952	117834
78	7028	117529
79	7113	117367
80	7195	117166
81	7272	116886
82	7357	116741
83	7458	116844
84	7544	116722
85	7624	116502
86	7728	116639
87	7819	116578
88	7901	116385
89	7989	116293
90	8078	116209
91	8166	116104
92	8240	115815
93	8329	115730
94	8425	115734
95	8515	115675
96	8596	115475
97	8679	115314
98	8772	115287
99	8858	115164
100	8954	115163
101	9049	115155
102	9145	115159
103	9226	114975
104	9307	114797
105	9400	114751
106	9484	114616
107	9567	114455
108	9656	114372
109	9752	114369
110	9845	114337
111	9941	114323
112	10015	114068
113	10113	114084
114	10187	113828
115	10266	113644
116	10349	113487
117	10442	113448
118	10523	113280
119	10615	113228
120	10690	112999
121	10788	113017
122	10882	112986
123	10973	112925
124	11055	112762
125	11150	112742
126	11242	112692
127	11322	112520
128	11402	112348
129	11481	112162
130	11555	111935
131	11650	111914
132	11734	111788
133	11822	111695
134	11906	111571
135	11992	111462
136	12087	111437
137	12181	111401
138	12268	111302
139	12350	111158
140	12446	111134
141	12539	111092
142	12631	111037
143	12733	111060
144	12825	111009
145	12923	110999
146	13025	111030
147	13130	111075
148	13242	111184
149	13318	110989
150	13402	110861
151	13483	110704
152	13563	110548
153	13645	110401
154	13728	110267
155	13821	110216
156	13902	110067
157	13983	109917
158	14063	109767
159	14151	109673
160	14241	109597
161	14333	109532
162	14425	109475
163	14521	109439
164	14600	109282
165	14690	109201
166	14782	109142
167	14859	108972
168	14923	108704
169	15000	108535
170	15086	108427
171	15179	108377
172	15270	108309
173	15368	108286
174	15459	108219
175	15545	108109
176	15633	108018
177	15722	107939
178	15806	107821
179	15894	107731
180	15988	107680
181	16066	107524
182	16154	107430
183	16236	107302
184	16329	107245
185	16406	107083
186	16492	106983
187	16582	106901
188	16659	106746
189	16751	106679
190	16847	106643
191	16929	106516
192	17026	106482
193	17120	106428
194	17195	106261
195	17285	106180
196	17368	106063
197	17462	106009
198	17548	105905
199	17642	105855
200	17728	105752
201	17819	105682
202	17896	105528
203	17991	105480
204	18085	105422
205	18184	105396
206	18267	105281
207	18359	105211
208	18462	105211
209	18568	105219
210	18664	105178
211	18758	105118
212	18851	105054
213	18948	105010
214	19022	104843
215	19119	104802
216	19212	104739
217	19304	104667
218	19401	104623
219	19480	104487
220	19574	104426
221	19669	104373
222	19763	104312
223	19857	104253
224	19938	104125
225	20026	104030
226	20108	103909
227	20189	103780
228	20272	103664
229	20361	103578
230	20453	103505
231	20526	103339
232	20614	103249
233	20699	103145
234	20774	102990
235	20855	102861
236	20943	102772
237	21018	102620
238	21108	102540
239	21195	102445
240	21297	102420
241	21377	102294
242	21457	102164
243	21541	102057
244	21629	101967
245	21705	101822
246	21797	101749
247	21890	101683
248	21982	101612
249	22063	101492
250	22158	101434
251	22250	101363
252	22325	101216
253	22403	101078
254	22499	101028
255	22593	100965
256	22681	100873
257	22768	100782
258	22860	100708
259	22956	100657
260	23042	100555
261	23126	100450
262	23206	100324
263	23292	100227
264	23382	100149
265	23468	100049
266	23572	100028
267	23665	99959
268	23767	99931
269	23863	99874
270	23970	99862
271	24060	99781
272	24153	99711
273	24245	99637
274	24333	99547
275	24426	99475
276	24511	99373
277	24599	99284
278	24693	99216
279	24788	99155
280	24902	99165
281	25024	99211
282	25152	99277
283	25275	99321
284	25373	99268
285	25454	99149
286	25552	99093
287	25651	99042
288	25744	98971
289	25837	98895
290	25910	98744
291	25991	98624
292	26086	98559
293	26182	98497
294	26278	98431
295	26361	98319
296	26458	98260
297	26549	98179
298	26650	98134
299	26752	98091
300	26832	97970
301	26926	97897
302	27022	97834
303	27113	97751
304	27211	97692
305	27293	97577
306	27390	97518
307	27474	97409
308	27571	97347
309	27665	97274
310	27762	97214
311	27854	97134
312	27948	97060
313	28038	96973
314	28128	96887
315	28225	96825
316	28312	96726
317	28401	96637
318	28494	96559
319	28590	96492
320	28673	96380
321	28744	96232
322	28831	96135
323	28930	96078
324	29022	95998
325	29131	95971
326	29237	95936
327	29340	95893
328	29440	95838
329	29542	95789
330	29630	95695
331	29717	95596
332	29821	95555
333	29903	95439
334	30002	95380
335	30091	95288
336	30208	95285
337	30318	95261
338	30419	95208
339	30533	95191
340	30616	95081
341	30711	95009
342	30805	94932
343	30901	94861
344	30988	94762
345	31085	94694
346	31186	94637
347	31300	94621
348	31405	94576
349	31514	94542
350	31620	94502
351	31726	94459
352	31838	94432
353	31946	94395
354	32048	94340
355	32138	94250
356	32237	94183
357	32328	94097
358	32427	94031
359	32534	93989
360	32632	93921
361	32735	93866
362	32847	93836
363	32956	93800
364	33046	93707
365	33139	93622
366	33236	93552
367	33332	93474
368	33436	93424
369	33544	93380
370	33650	93333
371	33759	93293
372	33873	93265
373	33991	93248
374	34101	93210
375	34202	93148
376	34308	93098
377	34420	93061
378	34531	93024
379	34646	92998
380	34761	92970
381	34858	92895
382	34962	92836
383	35062	92768
384	35166	92712
385	35272	92658
386	35378	92605
387	35491	92571
388	35580	92473
389	35676	92393
390	35770	92307
391	35879	92261
392	35978	92189
393	36079	92120
394	36191	92082
395	36299	92031
396	36406	91979
397	36515	91929
398	36616	91861
399	36717	91794
400	36812	91710
401	36920	91657
402	37012	91565
403	37113	91498
404	37198	91389
405	37303	91329
406	37397	91242
407	37482	91134
408	37569	91031
409	37667	90952
410	37750	90838
411	37837	90735
412	37933	90653
413	38004	90512
414	38094	90416
415	38193	90342
416	38289	90260
417	38389	90187
418	38490	90116
419	38587	90038
420	38669	89923
421	38771	89855
422	38874	89788
423	38970	89705
424	39067	89624
425	39164	89544
426	39254	89448
427	39359	89386
428	39459	89313
429	39561	89243
430	39640	89122
431	39722	89008
432	39814	88915
433	39919	88852
434	40029	88800
435	40136	88743
436	40234	88662
437	40334	88589
438	40421	88485
439	40506	88376
440	40600	88289
441	40694	88201
442	40786	88108
443	40874	88008
444	40945	87872
445	41038	87782
446	41127	87684
447	41222	87597
448	41320	87518
449	41409	87420
450	41502	87331
451	41593	87234
452	41691	87155
453	41785	87067
454	41881	86985
455	41976	86897
456	42061	86792
457	42158	86711
458	42254	86627
459	42350	86541
460	42443	86452
461	42537	86364
462	42618	86248
463	42711	86159
464	42801	86063
465	42898	85981
466	42993	85895
467	43092	85817
468	43190	85735
469	43281	85642
470	43371	85545
471	43471	85470
472	43570	85391
473	43666	85306
474	43766	85228
475	43871	85162
476	43973	85088
