iter	Passed	Remaining
0	107	150136
1	207	144775
2	305	142324
3	390	136162
4	476	132980
5	560	130193
6	644	128305
7	726	126426
8	808	125017
9	899	125023
10	981	123981
11	1070	123871
12	1139	121622
13	1230	121839
14	1320	121953
15	1410	121969
16	1508	122735
17	1586	121845
18	1679	122058
19	1765	121853
20	1852	121658
21	1951	122207
22	2061	123405
23	2153	123461
24	2252	123864
25	2340	123679
26	2446	124422
27	2555	125235
28	2676	126516
29	2788	127331
30	2892	127717
31	2993	127989
32	3073	127307
33	3146	126418
34	3225	125811
35	3308	125372
36	3418	125927
37	3516	126037
38	3632	126771
39	3742	127252
40	3842	127378
41	3915	126589
42	4014	126676
43	4086	125930
44	4190	126187
45	4296	126467
46	4398	126632
47	4496	126637
48	4578	126224
49	4679	126348
50	4768	126119
51	4846	125640
52	4928	125259
53	5010	124882
54	5089	124467
55	5165	123975
56	5262	123980
57	5358	123991
58	5453	123950
59	5543	123802
60	5623	123443
61	5714	123316
62	5802	123151
63	5893	123036
64	5979	122805
65	6057	122426
66	6131	121989
67	6201	121478
68	6256	120692
69	6332	120317
70	6415	120081
71	6511	120107
72	6601	120005
73	6691	119897
74	6762	119468
75	6865	119600
76	6953	119472
77	7058	119633
78	7171	119920
79	7268	119936
80	7370	120028
81	7470	120080
82	7560	119959
83	7645	119776
84	7739	119729
85	7836	119741
86	7921	119556
87	8020	119572
88	8116	119564
89	8232	119826
90	8325	119757
91	8435	119926
92	8537	119985
93	8628	119878
94	8712	119683
95	8801	119553
96	8885	119357
97	8965	119118
98	9063	119111
99	9146	118903
100	9230	118715
101	9326	118688
102	9408	118474
103	9499	118384
104	9574	118082
105	9674	118103
106	9770	118071
107	9865	118026
108	9953	117893
109	10048	117843
110	10139	117746
111	10228	117628
112	10319	117528
113	10414	117483
114	10499	117317
115	10576	117069
116	10651	116804
117	10742	116705
118	10829	116575
119	10921	116496
120	11014	116430
121	11116	116445
122	11231	116603
123	11347	116769
124	11456	116854
125	11556	116846
126	11657	116854
127	11749	116764
128	11849	116753
129	11961	116853
130	12053	116765
131	12163	116839
132	12272	116915
133	12370	116877
134	12476	116907
135	12592	117038
136	12689	116987
137	12798	117038
138	12887	116917
139	12984	116856
140	13081	116807
141	13177	116740
142	13264	116598
143	13347	116418
144	13432	116261
145	13524	116158
146	13617	116076
147	13716	116037
148	13802	115884
149	13906	115886
150	13995	115767
151	14085	115649
152	14187	115634
153	14281	115547
154	14367	115403
155	14475	115434
156	14575	115395
157	14662	115257
158	14749	115118
159	14851	115099
160	14957	115105
161	15058	115072
162	15167	115103
163	15274	115118
164	15377	115096
165	15462	114944
166	15554	114841
167	15657	114823
168	15758	114783
169	15869	114822
170	15957	114692
