iter	Logloss
0	0.5744863716
1	0.5010517581
2	0.4568403805
3	0.4286084438
4	0.4101586424
5	0.3990847888
6	0.3894935325
7	0.3828764877
8	0.3779019824
9	0.3753302461
10	0.372039
11	0.3698264688
12	0.368237894
13	0.3666378959
14	0.3657661432
15	0.3649909976
16	0.3644587802
17	0.3639698161
18	0.3633932821
19	0.3630948258
20	0.362779372
21	0.3624436808
22	0.362256596
23	0.3620303363
24	0.3618578148
25	0.3616606822
26	0.3615296982
27	0.3610796061
28	0.360961191
29	0.3608568681
30	0.3607203151
31	0.3606414972
32	0.360543599
33	0.3602283452
34	0.3601356566
35	0.3600536197
36	0.3599660242
37	0.3598538881
38	0.3597546568
39	0.3596838452
40	0.3595380204
41	0.3594864884
42	0.3592484599
43	0.3591805859
44	0.3590172399
45	0.3588012837
46	0.358753336
47	0.3586137444
48	0.3585183026
49	0.3584901164
50	0.358448445
51	0.3584107883
52	0.3580643776
53	0.3579961205
54	0.3579347452
55	0.3578883773
56	0.3578268572
57	0.3577843809
58	0.3577051848
59	0.3576853675
60	0.3575790639
61	0.357546147
62	0.3574094323
63	0.3573596174
64	0.3572427211
65	0.3571797694
66	0.357147831
67	0.3571091278
68	0.3571051247
69	0.3570418513
70	0.3569953769
71	0.3569754542
72	0.3568866776
73	0.3568506572
74	0.3568105026
75	0.356791792
76	0.356666433
77	0.3565624334
78	0.3565167162
79	0.3564635789
80	0.35634599
81	0.3563154542
82	0.3562825356
83	0.3562086594
84	0.3560967536
85	0.3558876533
86	0.355843946
87	0.35581275
88	0.3556180655
89	0.3556063745
90	0.3555658471
91	0.3554645264
92	0.3553378341
93	0.3553014401
94	0.3552063156
95	0.3550217708
96	0.3549223946
97	0.3548747628
98	0.3548144946
99	0.3546257574
100	0.3544578916
101	0.354421115
102	0.3543700337
103	0.3542332539
104	0.3540189196
105	0.3539125735
106	0.3538664895
107	0.3538157034
108	0.353784689
109	0.353700374
110	0.353666543
111	0.3535118187
112	0.3534371831
113	0.3534091741
114	0.3533718557
115	0.3532781627
116	0.353224562
117	0.3530958862
118	0.3529591941
119	0.3527875423
120	0.3527054197
121	0.3526300357
122	0.3525873522
123	0.3525336206
124	0.3524864908
125	0.3524398848
126	0.3523386706
127	0.3522268673
128	0.3521860642
129	0.3521506925
130	0.3521334364
131	0.3521007664
132	0.3520529612
133	0.3520070667
134	0.351844021
135	0.3518142655
136	0.3516978044
137	0.3515697812
138	0.3515084239
139	0.3514886319
140	0.351443365
141	0.3512797386
142	0.3512265886
143	0.3511926328
144	0.3510420309
145	0.3509938052
146	0.3509380616
147	0.3509030687
148	0.3508383684
149	0.3507852919
150	0.3506391766
151	0.3505571103
152	0.3505195797
153	0.350456186
154	0.3503995415
155	0.350354539
156	0.3503123915
157	0.3502825915
158	0.3502722774
159	0.3502105134
160	0.3501731201
161	0.3501401259
162	0.350110647
163	0.3500734344
164	0.3500105275
165	0.3499825322
166	0.3498982376
167	0.3498569092
168	0.3497792102
169	0.3497589118
170	0.3497163019
171	0.3496635999
172	0.3496273191
173	0.3495982681
174	0.3495644521
175	0.3495150957
176	0.3494862008
177	0.3494689196
178	0.3494331835
179	0.3493994672
180	0.3493555164
181	0.3492997475
182	0.3492618613
183	0.3491065835
184	0.3490624936
185	0.3490511628
186	0.349009809
187	0.3489890369
188	0.3488439625
189	0.3488078566
190	0.3486518629
191	0.3486205616
192	0.3486019776
193	0.3485664846
194	0.3483863969
195	0.3483424214
196	0.3482903633
197	0.3482270047
198	0.3482048088
199	0.3481969991
200	0.3481745308
201	0.3481454969
202	0.3481163198
203	0.3480845591
204	0.3480607289
205	0.3480178654
206	0.3479586908
207	0.3478325487
208	0.3478005449
209	0.3477634491
210	0.3476256672
211	0.3475938979
212	0.347491161
213	0.3474468925
214	0.347424581
215	0.3473936045
216	0.3473613225
217	0.3473344934
218	0.3473093383
219	0.3472815098
220	0.3472588902
221	0.3472370742
222	0.347216033
223	0.3471827612
224	0.3471547643
225	0.3471304811
226	0.3470969802
227	0.3470671234
228	0.3470568804
229	0.3470203288
230	0.3469929963
231	0.3469696532
232	0.3469671357
233	0.3469402839
234	0.3469192836
235	0.3468569853
236	0.3468159251
237	0.3467889146
238	0.3467239148
239	0.3466496745
240	0.346613683
241	0.3466070462
242	0.346515691
243	0.3464967658
244	0.346474485
245	0.3464395834
246	0.3464151987
247	0.3463949321
248	0.3462486161
249	0.3461955878
250	0.3461309452
251	0.3461076978
252	0.3460829398
253	0.3460570563
254	0.3460197229
255	0.3459995849
256	0.3458680784
257	0.3458214454
258	0.345781792
259	0.3457713309
260	0.3457405231
261	0.3457018255
262	0.3456582789
263	0.3456379363
264	0.3455080297
265	0.3455053863
266	0.3454727951
267	0.3453487264
268	0.3453146124
269	0.3452972312
270	0.3452668463
271	0.3452532429
272	0.3452273408
273	0.3451583226
274	0.3451389714
275	0.3451015945
276	0.3450752697
277	0.3450515538
278	0.3450148657
279	0.3450018129
280	0.3449740524
281	0.3449467253
282	0.3449192893
283	0.3448800951
284	0.3448483965
285	0.3448454467
286	0.3448259976
287	0.3448034504
288	0.3447793856
289	0.3447776068
290	0.3447523922
291	0.3446638447
292	0.3446268901
293	0.3445711341
294	0.3445474066
295	0.3445349584
296	0.3445095001
297	0.3445034227
298	0.3444827185
299	0.3444682699
300	0.3444481395
301	0.3444190288
302	0.3443961025
303	0.3443294705
304	0.3443001416
305	0.3442560764
306	0.3441834376
307	0.3440919277
308	0.3440663824
309	0.3440275594
310	0.3440015161
311	0.343978752
312	0.3439481893
313	0.3439161741
314	0.3438202256
315	0.34379696
316	0.343764451
317	0.3437363445
318	0.3437154829
319	0.343701392
320	0.3436571502
321	0.3435565298
322	0.3435304344
323	0.3435072361
324	0.3434918097
325	0.3434720472
326	0.3434396305
327	0.3434151852
328	0.3433466764
329	0.3432931097
330	0.3432783183
331	0.3432289576
332	0.3431729347
333	0.3431500058
334	0.3431224873
335	0.3430836169
336	0.343034206
337	0.3430159934
338	0.3429938428
339	0.3429770349
340	0.3429482332
341	0.3429157753
342	0.3428872729
343	0.3428572632
344	0.3428162851
345	0.3427938921
346	0.3427756986
347	0.3427543671
348	0.3427222452
349	0.3427035478
350	0.3425770428
351	0.342504018
352	0.3424863404
353	0.3424634749
354	0.3424467821
355	0.3424214805
356	0.3423462527
357	0.3422823808
358	0.3422381594
359	0.3422152991
360	0.3421043404
361	0.3420827372
362	0.3420589332
363	0.3420261046
364	0.3420141479
365	0.3419891795
366	0.3419348442
367	0.3418212712
368	0.3417913819
369	0.3417713394
370	0.3417493024
371	0.3417188839
372	0.3417028155
373	0.341694267
374	0.3416745209
375	0.341638425
376	0.3416223186
377	0.3415940542
378	0.3415762989
379	0.3415480638
380	0.3415253622
381	0.3414513434
382	0.3414266081
383	0.34141722
384	0.3414033963
385	0.3413839656
386	0.3413755753
387	0.3413490713
388	0.3413334991
389	0.3413114588
390	0.3412906036
391	0.3412839457
392	0.341265142
393	0.3411976144
394	0.3411686069
395	0.3411490588
396	0.3411291668
397	0.3410954116
398	0.3410676466
399	0.3410451067
400	0.341012899
401	0.3410017883
402	0.3409814549
403	0.3409286995
404	0.3409063326
405	0.3408820527
406	0.3408651999
407	0.3408419683
408	0.3408353724
409	0.3408216121
410	0.3407977213
411	0.3407759879
412	0.3407651642
413	0.3407512139
414	0.3407388483
415	0.3407193458
416	0.3406779244
417	0.3406615963
418	0.3406062605
419	0.3405801701
420	0.340566608
421	0.3405584264
422	0.3404806171
423	0.3404788612
424	0.3404474538
425	0.3404458002
426	0.3404315716
427	0.3404097245
428	0.3403827696
429	0.3403621183
430	0.3403553244
431	0.3403492004
432	0.3403223763
433	0.3402973894
434	0.3402712356
435	0.3402178705
436	0.3401959266
437	0.3401779364
438	0.3401622723
439	0.3401486871
440	0.3401172213
441	0.340096075
442	0.3400683649
443	0.3400513228
444	0.3400374286
445	0.3400160207
446	0.339991523
447	0.3399789601
448	0.3399631019
449	0.3399449909
450	0.3399281143
451	0.3399054854
452	0.3398800972
453	0.3398621976
454	0.3398368702
455	0.3397732544
456	0.3397658633
457	0.3397455543
458	0.3397251981
459	0.3396975858
460	0.3396774188
461	0.3396322374
462	0.3396274179
463	0.3396095214
464	0.3395818712
465	0.3395571945
466	0.3395428331
467	0.3395322329
468	0.3395223031
469	0.3395072621
470	0.3394901989
471	0.3394800459
472	0.3394740943
473	0.3394509488
474	0.3394300692
475	0.3394112886
476	0.3393896427
477	0.3393628995
478	0.3393440215
479	0.3393112446
480	0.3392896799
481	0.3392847331
482	0.3392728417
483	0.3392567455
484	0.3392486049
485	0.3392291859
486	0.3392074323
487	0.3391831055
488	0.3391794456
489	0.3391605926
490	0.3391519035
491	0.3391191325
492	0.3390847894
493	0.339052535
494	0.3390426764
495	0.3390281303
496	0.3389821144
497	0.3389259803
498	0.3389004386
499	0.3388566547
500	0.3388297141
501	0.3387980871
502	0.3387750058
503	0.3387587768
504	0.3387313202
505	0.3387061748
506	0.3386933858
507	0.3386652539
508	0.3386431221
509	0.3386248149
510	0.338621512
511	0.3385980969
512	0.3385708264
513	0.3385517123
514	0.3385262405
515	0.3385157423
516	0.3385027416
517	0.3384954444
518	0.3384791225
519	0.3384484312
520	0.3384347542
521	0.338418636
522	0.3383501466
523	0.3383161285
524	0.3383029676
525	0.3382814498
526	0.3382646859
527	0.3382475896
528	0.338229932
529	0.3382194791
530	0.3382172869
531	0.3382067637
532	0.3381854755
533	0.3381771533
534	0.3381635858
535	0.3381550035
536	0.338135545
537	0.3381213766
538	0.3381155257
539	0.3380970815
540	0.3380871708
541	0.3380646323
542	0.3380417573
543	0.3380249525
544	0.3380032559
545	0.3379888434
546	0.3379692076
547	0.3379471448
548	0.3379117746
549	0.3378584822
550	0.3378316224
551	0.3378056161
552	0.3377472236
553	0.337682903
554	0.33767614
555	0.3376658165
556	0.3376409112
557	0.3376253896
558	0.3376085304
559	0.3375933971
560	0.3375763228
561	0.3375579416
562	0.3375423498
563	0.3375271179
564	0.3375218322
565	0.3375142085
566	0.3375019901
567	0.3374852737
568	0.3374703378
569	0.337430929
570	0.3374067405
571	0.3373972807
572	0.3373775254
573	0.3373739271
574	0.3373294409
575	0.3372988065
576	0.3372845559
577	0.337259953
578	0.3372388097
579	0.3372171441
580	0.3371935934
581	0.3371812606
582	0.3371641125
583	0.3371457758
584	0.3370998925
585	0.3370827534
586	0.3370507707
587	0.3370292918
588	0.3370214302
589	0.3370019904
590	0.3369844617
591	0.3369660853
592	0.3369522379
593	0.3369379201
594	0.336925243
595	0.3369053133
596	0.3368813278
597	0.3368541172
598	0.3368350546
599	0.3368254852
600	0.3368128943
601	0.3367816861
602	0.336764365
603	0.3367469848
604	0.3367258258
605	0.3367055622
606	0.3366888745
607	0.3366610858
608	0.3366562653
609	0.3366512447
610	0.3366382408
611	0.3366256021
612	0.3366080338
613	0.3365974735
614	0.3365821486
615	0.3365655947
616	0.3365438527
617	0.3365266611
618	0.3365012342
619	0.3364786671
620	0.3364608831
621	0.3364359985
622	0.3364209851
623	0.3364060303
624	0.3363867591
625	0.3363648135
626	0.3363452634
627	0.3363288254
628	0.3363182582
629	0.3362990436
630	0.3362690784
631	0.3362520694
632	0.3362125563
633	0.3361974337
634	0.3361731366
635	0.3361380954
636	0.3361279056
637	0.3361076291
638	0.3361044499
639	0.336089393
640	0.336075594
641	0.3360515213
642	0.3360217466
643	0.3360141685
644	0.3360026562
645	0.3359871034
646	0.3359744486
647	0.3359548644
648	0.3359446402
649	0.335918045
650	0.3359005156
651	0.3358817087
652	0.335864928
653	0.3358525353
654	0.3358304704
655	0.335812489
656	0.3357948714
657	0.3357910015
658	0.335790054
659	0.3357752102
660	0.3357574727
661	0.3357472764
662	0.3357347995
663	0.3357126319
664	0.3357006134
665	0.3356815411
666	0.3356590973
667	0.3356523614
668	0.3356107078
669	0.335589145
670	0.3355679987
671	0.3355532334
672	0.3355489591
673	0.3355460673
674	0.3355340024
675	0.3355150396
676	0.3354805152
677	0.3354592863
678	0.3354364207
679	0.3354188857
680	0.3353555019
681	0.3353316956
682	0.3353165756
683	0.3352976906
684	0.335290383
685	0.3352669226
686	0.3352602036
687	0.3352454203
688	0.3352243052
689	0.3352201446
690	0.3352119486
691	0.3352108141
692	0.3352000361
693	0.3351907796
694	0.3351758293
695	0.3351727929
696	0.3351199999
697	0.3350951086
698	0.3350890284
699	0.3350680567
700	0.3350614742
701	0.3350590701
702	0.3350390113
703	0.3350304693
704	0.3350225315
705	0.335003705
706	0.3349943174
707	0.3349794043
708	0.3349550248
709	0.3349242263
710	0.3348963218
711	0.3348850685
712	0.3348341455
713	0.3348268958
714	0.3347808195
715	0.3347675582
716	0.3347583131
717	0.3347501222
718	0.3347313061
719	0.3347291377
720	0.3347143831
721	0.33469999
722	0.3346855536
723	0.3346617053
724	0.334644068
725	0.334627076
726	0.3346210248
727	0.3346015556
728	0.334584757
729	0.3345638943
730	0.3345586954
731	0.3345343313
732	0.334508548
733	0.3344927246
734	0.3344830928
735	0.3344764284
736	0.3344515986
737	0.3344359412
738	0.3344141268
739	0.3344009019
740	0.3343905228
741	0.3343821109
742	0.3343601985
743	0.334340141
744	0.3343248754
745	0.3343040999
746	0.3342876759
747	0.3342723119
748	0.3342633117
749	0.3342531955
750	0.3342344962
751	0.3341930578
752	0.3341682272
753	0.3341498848
754	0.3341466278
755	0.3341444598
756	0.3341213033
757	0.3341032155
758	0.33408944
759	0.3340695437
760	0.3340397213
761	0.3340247325
762	0.3340125493
763	0.3340014875
764	0.3339837378
765	0.3339650024
766	0.3339567627
767	0.3339421075
768	0.3338882195
769	0.3338693371
770	0.3338565206
771	0.3338480054
772	0.3338338165
773	0.3338098315
774	0.3337838682
775	0.3337636318
776	0.3337477097
777	0.3337280107
778	0.3336874695
